age,fare,pclass,sex,embarked,class,who
22.0,9.0,3,male,S,Third,man
10.0,24.15,3,female,S,Third,child
29.0,21.075,3,female,S,Third,woman
,26.55,1,male,S,First,man
23.0,7.925,3,female,S,Third,woman
61.0,32.3208,1,male,S,First,man
45.0,14.4542,3,female,C,Third,woman
26.0,30.0,1,male,C,First,man
48.0,39.6,1,female,C,First,woman
30.0,27.75,1,male,C,First,man
,7.2292,3,male,C,Third,man
,7.75,3,male,Q,Third,man
36.5,26.0,2,male,S,Second,man
,25.4667,3,female,S,Third,woman
29.0,10.4625,3,female,S,Third,woman
24.0,7.8958,3,male,S,Third,man
28.0,9.5,3,male,S,Third,man
40.0,31.0,1,male,C,First,man
17.0,12.0,2,female,C,Second,woman
16.0,86.5,1,female,S,First,woman
,7.25,3,male,S,Third,man
55.0,16.0,2,female,S,Second,woman
16.0,26.0,2,male,S,Second,man
31.0,7.775,3,male,S,Third,man
42.0,26.2875,1,male,S,First,man
34.0,8.05,3,male,S,Third,man
22.0,7.75,3,female,Q,Third,woman
39.0,31.275,3,female,S,Third,woman
9.0,34.375,3,female,S,Third,child
24.0,18.75,2,female,S,Second,woman
50.0,133.65,1,male,S,First,man
23.0,13.0,2,male,S,Second,man
32.0,7.8542,3,male,S,Third,man
16.0,9.2167,3,male,S,Third,man
65.0,61.9792,1,male,C,First,man
61.0,6.2375,3,male,S,Third,man
,7.75,3,male,Q,Third,man
,30.0,1,male,S,First,man
3.0,31.3875,3,male,S,Third,child
15.0,8.0292,3,female,Q,Third,child
33.0,53.1,1,female,S,First,woman
0.92,151.55,1,male,S,First,child
,14.5,3,male,S,Third,man
,6.95,3,male,Q,Third,man
28.0,24.0,2,female,C,Second,woman
2.0,10.4625,3,female,S,Third,child
,15.5,3,male,Q,Third,man
39.0,83.1583,1,female,C,First,woman
74.0,7.775,3,male,S,Third,man
,7.225,3,male,C,Third,man
24.0,15.85,3,female,S,Third,woman
7.0,39.6875,3,male,S,Third,child
30.0,31.0,1,female,C,First,woman
38.0,7.05,3,male,S,Third,man
25.0,7.775,3,male,S,Third,man
,7.8292,3,male,Q,Third,man
14.0,120.0,1,female,S,First,child
29.0,9.5,3,male,S,Third,man
18.0,227.525,1,female,C,First,woman
24.0,16.1,3,male,S,Third,man
,8.1375,3,female,Q,Third,woman
47.0,7.25,3,male,S,Third,man
29.0,10.5,2,female,S,Second,woman
32.0,30.5,1,male,C,First,man
14.0,30.0708,2,female,C,Second,child
5.0,12.475,3,female,S,Third,child
30.0,24.0,2,male,C,Second,man
22.0,29.0,2,female,S,Second,woman
34.0,26.55,1,male,S,First,man
18.0,6.4958,3,male,S,Third,man
,56.4958,3,male,S,Third,man
20.0,9.825,3,female,S,Third,woman
29.0,66.6,1,male,S,First,man
48.0,76.7292,1,male,C,First,man
44.0,7.925,3,male,S,Third,man
,27.7208,1,male,C,First,man
16.0,8.05,3,male,S,Third,man
,51.8625,1,female,S,First,woman
,7.75,3,female,Q,Third,woman
15.0,7.2292,3,male,C,Third,child
54.0,59.4,1,female,C,First,woman
29.0,10.5,2,male,S,Second,man
35.0,26.0,2,male,S,Second,man
35.0,7.125,3,male,S,Third,man
20.0,9.225,3,male,S,Third,man
28.0,15.85,3,male,S,Third,man
6.0,12.475,3,male,S,Third,child
23.5,7.2292,3,male,C,Third,man
25.0,26.0,2,female,S,Second,woman
,15.2458,3,male,C,Third,man
39.0,79.65,1,female,S,First,woman
36.0,13.0,2,female,S,Second,woman
,79.2,1,female,C,First,woman
21.0,7.8,3,male,S,Third,man
,15.5,3,female,Q,Third,woman
27.0,6.975,3,male,S,Third,man
31.0,7.8542,3,female,S,Third,woman
38.0,31.3875,3,female,S,Third,woman
25.0,41.5792,2,male,C,Second,man
,23.25,3,female,Q,Third,woman
38.0,227.525,1,female,C,First,woman
23.0,13.0,2,male,S,Second,man
40.0,15.5,3,male,Q,Third,man
19.0,53.1,1,male,S,First,man
21.0,8.4333,3,male,S,Third,man
,7.8958,3,male,S,Third,man
16.0,8.05,3,male,S,Third,man
37.0,26.0,2,male,S,Second,man
15.0,14.4542,3,female,C,Third,child
8.0,21.075,3,female,S,Third,child
24.0,27.0,2,female,S,Second,woman
,52.0,1,female,S,First,woman
25.0,91.0792,1,male,C,First,man
18.0,11.5,2,male,S,Second,man
22.0,7.225,3,male,C,Third,man
,69.55,3,male,S,Third,man
,7.75,3,male,Q,Third,man
17.0,57.0,1,female,S,First,woman
32.0,56.4958,3,male,S,Third,man
,35.0,1,male,S,First,man
58.0,29.7,1,male,C,First,man
,22.3583,3,female,C,Third,woman
22.0,41.5792,2,female,C,Second,woman
34.0,13.0,2,male,S,Second,man
18.0,73.5,2,male,S,Second,man
,42.4,1,male,S,First,man
1.0,15.7417,3,female,C,Third,child
25.0,13.0,2,male,S,Second,man
36.0,13.0,2,female,S,Second,woman
,16.1,3,female,S,Third,woman
32.0,76.2917,1,female,C,First,woman
33.0,12.275,2,male,S,Second,man
21.0,7.25,3,male,S,Third,man
33.0,5.0,1,male,S,First,man
19.0,7.8542,3,female,S,Third,woman
19.0,13.0,2,male,S,Second,man
52.0,13.0,2,male,S,Second,man
17.0,7.2292,3,male,C,Third,man
47.0,14.5,3,female,S,Third,woman
28.0,12.65,2,female,S,Second,woman
62.0,26.55,1,male,S,First,man
,33.0,2,female,S,Second,woman
40.0,0.0,1,male,S,First,man
32.0,10.5,2,male,S,Second,man
41.0,19.5,2,female,S,Second,woman
,25.4667,3,female,S,Third,woman
21.0,7.925,3,male,S,Third,man
33.0,8.6625,3,male,C,Third,man
27.0,26.0,2,male,S,Second,man
39.0,24.15,3,male,S,Third,man
23.0,9.225,3,male,S,Third,man
40.5,7.75,3,male,Q,Third,man
7.0,29.125,3,male,Q,Third,child
26.0,7.925,3,female,S,Third,woman
,25.4667,3,female,S,Third,woman
,227.525,1,male,C,First,man
40.0,27.9,3,male,S,Third,man
45.0,164.8667,1,female,S,First,woman
24.0,13.0,2,female,S,Second,woman
,19.9667,3,male,S,Third,man
18.0,13.0,2,female,S,Second,woman
,15.2458,3,male,C,Third,man
4.0,81.8583,1,male,S,First,child
58.0,113.275,1,male,C,First,man
52.0,78.2667,1,female,C,First,woman
31.0,57.0,1,male,S,First,man
46.0,26.0,2,male,S,Second,man
26.0,7.8875,3,male,S,Third,man
37.0,29.7,1,male,C,First,man
60.0,79.2,1,male,C,First,man
31.0,13.0,2,male,S,Second,man
50.0,28.7125,1,female,C,First,woman
,7.75,3,female,Q,Third,woman
21.0,8.05,3,male,S,Third,man
34.0,6.4958,3,male,S,Third,man
44.0,26.0,2,male,S,Second,man
42.0,13.0,2,male,S,Second,man
42.0,27.0,2,male,S,Second,man
,7.225,3,male,C,Third,man
31.0,164.8667,1,female,S,First,woman
11.0,18.7875,3,male,C,Third,child
36.0,71.0,1,female,S,First,woman
32.0,15.5,3,female,Q,Third,woman
19.0,0.0,3,male,S,Third,man
18.0,7.4958,3,female,S,Third,woman
6.0,31.275,3,female,S,Third,child
,7.75,3,female,Q,Third,woman
52.0,93.5,1,female,S,First,woman
31.0,20.525,3,female,S,Third,woman
13.0,19.5,2,female,S,Second,child
45.0,35.5,1,male,S,First,man
3.0,26.0,2,male,S,Second,child
,7.55,3,female,S,Third,woman
21.0,262.375,1,female,C,First,woman
,35.5,1,male,S,First,man
,7.2292,3,female,C,Third,woman
71.0,34.6542,1,male,C,First,man
22.0,7.75,3,female,S,Third,woman
4.0,39.0,2,female,S,Second,child
,39.6,1,male,C,First,man
,13.8625,2,male,C,Second,man
19.0,30.0,1,female,S,First,woman
21.0,73.5,2,male,S,Second,man
21.0,7.775,3,male,S,Third,man
45.0,83.475,1,male,S,First,man
70.0,10.5,2,male,S,Second,man
,9.5,3,male,S,Third,man
35.0,53.1,1,female,S,First,woman
5.0,27.75,2,female,S,Second,child
,7.8958,3,male,S,Third,man
36.0,26.3875,1,male,S,First,man
,7.8958,3,male,S,Third,man
31.0,26.25,2,male,S,Second,man
27.0,13.0,2,male,S,Second,man
24.0,73.5,2,male,S,Second,man
35.0,8.05,3,male,S,Third,man
49.0,76.7292,1,female,C,First,woman
,13.0,2,male,S,Second,man
,110.8833,1,female,C,First,woman
51.0,61.3792,1,male,C,First,man
27.0,211.5,1,male,C,First,man
,7.8958,3,male,S,Third,man
37.0,52.5542,1,male,S,First,man
54.0,26.0,2,male,S,Second,man
,7.8792,3,female,Q,Third,woman
20.0,7.925,3,male,S,Third,man
27.0,53.1,1,male,S,First,man
48.0,65.0,2,female,S,Second,woman
40.0,27.7208,1,male,C,First,man
29.0,7.875,3,male,S,Third,man
18.0,9.35,3,female,S,Third,woman
29.0,21.0,2,male,S,Second,man
11.0,31.275,3,female,S,Third,child
70.5,7.75,3,male,Q,Third,man
30.0,13.0,2,male,S,Second,man
19.0,7.65,3,male,S,Third,man
,0.0,2,male,S,Second,man
19.0,263.0,1,male,S,First,man
17.0,108.9,1,female,C,First,woman
18.0,8.3,3,male,S,Third,man
34.0,13.0,2,male,S,Second,man
28.0,9.5,3,male,S,Third,man
37.0,9.5875,3,female,S,Third,woman
18.0,79.65,1,female,S,First,woman
11.0,120.0,1,male,S,First,child
45.0,13.5,2,female,S,Second,woman
31.0,52.0,1,male,S,First,man
43.0,26.25,2,male,S,Second,man
24.0,7.7958,3,male,S,Third,man
65.0,7.75,3,male,Q,Third,man
34.5,6.4375,3,male,C,Third,man
25.0,17.8,3,male,S,Third,man
,7.2292,3,male,C,Third,man
26.0,18.7875,3,male,C,Third,man
19.0,7.775,3,male,S,Third,man
18.0,9.8417,3,female,S,Third,woman
48.0,25.9292,1,female,S,First,woman
28.0,35.5,1,male,S,First,man
2.0,26.0,2,male,S,Second,child
35.0,8.05,3,male,S,Third,man
,8.05,3,male,S,Third,man
,7.3125,3,male,S,Third,man
,8.05,3,male,S,Third,man
0.75,19.2583,3,female,C,Third,child
,0.0,2,male,S,Second,man
35.0,10.5,2,male,S,Second,man
23.0,13.7917,2,female,C,Second,woman
29.0,7.8958,3,male,C,Third,man
2.0,26.0,2,female,S,Second,child
24.5,8.05,3,male,S,Third,man
17.0,8.6625,3,male,S,Third,man
52.0,79.65,1,male,S,First,man
,7.7875,3,female,Q,Third,woman
25.0,151.55,1,female,S,First,woman
3.0,18.75,2,male,S,Second,child
51.0,26.55,1,male,S,First,man
38.0,8.6625,3,male,S,Third,man
18.0,18.0,3,female,S,Third,woman
,7.8958,3,male,S,Third,man
16.0,18.0,3,male,S,Third,man
4.0,16.7,3,female,S,Third,child
31.0,26.25,2,female,S,Second,woman
40.0,134.5,1,female,C,First,woman
,7.75,3,female,Q,Third,woman
28.0,22.525,3,male,S,Third,man
43.0,211.3375,1,female,S,First,woman
44.0,8.05,3,male,S,Third,man
32.0,7.925,3,male,S,Third,man
28.0,7.8542,3,male,S,Third,man
39.0,55.9,1,female,S,First,woman
9.0,27.9,3,female,S,Third,child
30.0,7.2292,3,male,C,Third,man
,7.8958,3,male,S,Third,man
39.0,0.0,1,male,S,First,man
20.0,4.0125,3,male,C,Third,man
,16.1,3,female,S,Third,woman
51.0,77.9583,1,female,S,First,woman
24.0,8.05,3,male,S,Third,man
30.0,13.0,2,male,S,Second,man
27.0,7.8958,3,male,S,Third,man
31.0,7.925,3,male,S,Third,man
29.0,26.0,2,female,S,Second,woman
40.0,13.0,2,female,S,Second,woman
3.0,41.5792,2,female,C,Second,child
2.0,21.075,3,male,S,Third,child
50.0,106.425,1,male,C,First,man
18.0,108.9,1,male,C,First,man
4.0,13.4167,3,female,C,Third,child
45.0,26.55,1,male,S,First,man
53.0,51.4792,1,female,S,First,woman
32.5,30.0708,2,male,C,Second,man
40.0,9.475,3,female,S,Third,woman
,8.05,3,male,S,Third,man
,146.5208,1,female,C,First,woman
60.0,39.0,2,male,S,Second,man
1.0,11.1333,3,female,S,Third,child
,26.0,1,male,S,First,man
28.0,26.55,1,male,S,First,man
,23.45,3,male,S,Third,man
,14.4542,3,female,C,Third,woman
2.0,27.9,3,female,S,Third,child
56.0,30.6958,1,male,C,First,man
24.0,24.15,3,male,S,Third,man
26.0,10.5,2,male,S,Second,man
44.0,90.0,1,male,Q,First,man
21.0,10.5,2,female,S,Second,woman
71.0,49.5042,1,male,C,First,man
16.0,46.9,3,female,S,Third,woman
36.0,7.4958,3,male,S,Third,man
19.0,36.75,2,male,S,Second,man
29.0,8.05,3,male,S,Third,man
,55.0,1,female,S,First,woman
28.0,7.925,3,male,S,Third,man
31.0,50.4958,1,male,S,First,man
61.0,33.5,1,male,S,First,man
24.0,83.1583,1,female,C,First,woman
29.0,27.7208,2,male,C,Second,man
,7.8792,3,female,Q,Third,woman
26.0,20.575,3,male,S,Third,man
30.0,12.35,2,female,Q,Second,woman
,7.8958,3,male,C,Third,man
33.0,90.0,1,female,Q,First,woman
,7.05,3,male,S,Third,man
54.0,23.0,2,female,S,Second,woman
47.0,25.5875,1,male,S,First,man
22.0,7.25,3,female,S,Third,woman
22.0,7.7958,3,male,S,Third,man
22.0,7.125,3,male,S,Third,man
25.0,26.0,2,male,S,Second,man
,8.05,3,male,S,Third,man
,7.75,3,male,Q,Third,man
24.0,13.0,2,male,S,Second,man
36.0,13.0,2,male,S,Second,man
21.0,7.925,3,male,S,Third,man
4.0,23.0,2,female,S,Second,child
42.0,7.65,3,male,S,Third,man
19.0,91.0792,1,female,C,First,woman
,7.25,3,male,S,Third,man
14.0,46.9,3,male,S,Third,child
24.0,247.5208,1,male,C,First,man
2.0,31.275,3,female,S,Third,child
17.0,8.6625,3,male,S,Third,man
52.0,13.5,2,male,S,Second,man
,7.8958,3,male,S,Third,man
22.0,7.25,3,male,S,Third,man
24.0,16.7,3,female,S,Third,woman
26.0,8.05,3,male,S,Third,man
20.0,8.6625,3,female,S,Third,woman
32.0,26.0,2,male,S,Second,man
4.0,31.275,3,male,S,Third,child
26.0,7.775,3,male,S,Third,man
22.0,7.25,3,male,S,Third,man
17.0,14.4583,3,female,C,Third,woman
,8.6625,3,male,S,Third,man
51.0,12.525,2,male,S,Second,man
20.0,7.925,3,male,S,Third,man
24.0,7.4958,3,male,S,Third,man
,7.8958,3,male,S,Third,man
