age,fare,pclass,sex,embarked,class,who
,7.75,3,female,Q,Third,woman
29.0,7.0458,3,male,S,Third,man
26.0,7.8958,3,male,S,Third,man
17.0,8.6625,3,male,S,Third,man
35.0,512.3292,1,female,C,First,woman
31.0,7.75,3,male,Q,Third,man
23.0,15.0458,2,male,C,Second,man
31.0,37.0042,2,male,C,Second,man
23.0,7.55,3,female,S,Third,woman
39.0,26.0,2,male,S,Second,man
21.0,7.75,3,female,Q,Third,woman
15.0,211.3375,1,female,S,First,child
25.0,13.0,2,male,S,Second,man
36.0,24.15,3,male,S,Third,man
47.0,15.0,2,male,S,Second,man
24.0,8.85,3,female,S,Third,woman
,15.5,3,male,Q,Third,man
20.0,9.8458,3,male,S,Third,man
14.0,7.8542,3,female,S,Third,child
16.0,34.375,3,male,S,Third,man
25.0,55.4417,1,male,C,First,man
9.0,20.525,3,male,S,Third,child
13.0,7.2292,3,female,C,Third,child
,7.8958,3,male,S,Third,man
11.0,46.9,3,male,S,Third,child
,7.225,3,male,C,Third,man
18.0,20.2125,3,male,S,Third,man
36.0,12.875,2,male,C,Second,man
27.0,21.0,2,female,S,Second,woman
16.0,57.9792,1,female,C,First,woman
32.0,8.05,3,male,S,Third,man
30.0,12.475,3,female,S,Third,woman
,7.8792,3,female,Q,Third,woman
41.0,20.2125,3,female,S,Third,woman
,56.4958,3,male,S,Third,man
50.0,10.5,2,female,S,Second,woman
35.0,52.0,1,female,S,First,woman
28.0,7.8958,3,male,S,Third,man
17.0,10.5,2,female,S,Second,woman
19.0,26.2833,1,female,S,First,woman
14.5,14.4542,3,female,C,Third,child
44.0,27.7208,1,female,C,First,woman
30.0,13.0,2,male,S,Second,man
54.0,78.2667,1,female,C,First,woman
45.0,6.975,3,male,S,Third,man
41.0,134.5,1,female,C,First,woman
54.0,77.2875,1,male,S,First,man
42.0,7.55,3,male,S,Third,man
19.0,10.5,2,male,S,Second,man
58.0,153.4625,1,female,S,First,woman
,7.2292,3,male,C,Third,man
33.0,8.6542,3,male,S,Third,man
0.67,14.5,2,male,S,Second,child
,14.4583,3,female,C,Third,woman
20.5,7.25,3,male,S,Third,man
29.0,30.0,1,male,S,First,man
,23.25,3,male,Q,Third,man
63.0,77.9583,1,female,S,First,woman
,7.75,3,male,Q,Third,man
34.0,21.0,2,male,S,Second,man
1.0,20.575,3,male,S,Third,child
,7.2292,3,male,C,Third,man
24.0,79.2,1,male,C,First,man
,12.35,2,female,Q,Second,woman
25.0,7.775,3,male,S,Third,man
,22.3583,3,female,C,Third,woman
64.0,26.0,1,male,S,First,man
22.0,7.25,3,male,S,Third,man
,7.725,3,male,Q,Third,man
,7.75,3,female,Q,Third,woman
,221.7792,1,male,S,First,man
35.0,26.2875,1,male,S,First,man
,15.5,3,female,Q,Third,woman
28.0,13.0,2,male,S,Second,man
8.0,36.75,2,male,S,Second,child
1.0,46.9,3,male,S,Third,child
41.0,7.125,3,male,S,Third,man
32.0,15.85,3,male,S,Third,man
,27.7208,1,male,C,First,man
36.0,512.3292,1,male,C,First,man
26.0,14.4542,3,male,C,Third,man
37.0,7.925,3,male,S,Third,man
57.0,12.35,2,male,Q,Second,man
28.0,33.0,2,male,S,Second,man
2.0,29.125,3,male,Q,Third,child
31.0,10.5,2,male,S,Second,man
20.0,7.8542,3,male,S,Third,man
23.0,263.0,1,female,S,First,woman
36.0,27.75,2,male,S,Second,man
21.0,77.2875,1,male,S,First,man
19.0,10.5,2,male,S,Second,man
,30.6958,1,male,C,First,man
25.0,7.775,3,female,S,Third,woman
29.0,9.4833,3,male,S,Third,man
30.0,8.05,3,male,S,Third,man
2.0,12.2875,3,female,S,Third,child
30.0,13.0,2,female,S,Second,woman
,7.7375,3,female,Q,Third,woman
31.0,18.0,3,female,S,Third,woman
21.0,7.8542,3,male,S,Third,man
,8.05,3,male,S,Third,man
23.0,7.8958,3,male,S,Third,man
,7.75,3,female,Q,Third,woman
17.0,7.125,3,male,S,Third,man
,69.55,3,female,S,Third,woman
18.0,262.375,1,female,C,First,woman
25.0,7.925,3,female,S,Third,woman
35.0,512.3292,1,male,C,First,man
19.0,26.0,2,female,S,Second,woman
,15.05,2,male,C,Second,man
4.0,22.025,3,female,S,Third,child
51.0,7.75,3,male,S,Third,man
30.0,7.8958,3,male,S,Third,man
30.0,93.5,1,female,S,First,woman
42.0,227.525,1,female,C,First,woman
,7.8958,3,male,S,Third,man
24.0,69.3,1,female,C,First,woman
27.0,10.5,2,female,S,Second,woman
28.5,16.1,3,male,S,Third,man
60.0,26.55,1,male,S,First,man
0.83,29.0,2,male,S,Second,child
,7.75,3,female,Q,Third,woman
27.0,30.5,1,male,S,First,man
18.0,14.4542,3,female,C,Third,woman
47.0,9.0,3,male,S,Third,man
23.0,13.0,2,male,S,Second,man
,0.0,1,male,S,First,man
34.0,32.5,2,female,S,Second,woman
25.0,7.8958,3,male,S,Third,man
40.0,7.8958,3,male,S,Third,man
19.0,8.1583,3,male,S,Third,man
45.0,26.55,1,male,S,First,man
,8.05,3,male,S,Third,man
28.0,7.8958,3,male,S,Third,man
39.0,29.125,3,female,Q,Third,woman
18.0,7.7958,3,male,S,Third,man
41.0,39.6875,3,female,S,Third,woman
36.0,17.4,3,female,S,Third,woman
,24.15,3,male,Q,Third,man
1.0,37.0042,2,male,C,Second,child
24.0,9.5,3,male,S,Third,man
14.0,39.6875,3,male,S,Third,child
,19.9667,3,male,S,Third,man
19.0,7.8958,3,male,S,Third,man
16.0,20.25,3,male,S,Third,man
36.0,15.55,3,male,S,Third,man
35.0,7.05,3,male,S,Third,man
26.0,8.6625,3,male,S,Third,man
33.0,20.525,3,male,S,Third,man
44.0,16.1,3,male,S,Third,man
58.0,26.55,1,female,S,First,woman
18.0,11.5,2,male,S,Second,man
,24.15,3,male,Q,Third,man
19.0,26.0,2,female,S,Second,woman
,16.1,3,male,S,Third,man
,25.4667,3,male,S,Third,man
45.0,26.25,2,female,S,Second,woman
22.0,7.8958,3,male,S,Third,man
48.0,7.8542,3,male,S,Third,man
0.83,18.75,2,male,S,Second,child
29.0,7.775,3,male,S,Third,man
24.0,7.05,3,male,S,Third,man
20.0,7.8542,3,male,S,Third,man
19.0,6.75,3,male,Q,Third,man
32.0,7.8958,3,male,S,Third,man
28.0,10.5,2,male,S,Second,man
,30.5,1,male,S,First,man
,7.75,3,male,Q,Third,man
,15.5,3,female,Q,Third,woman
10.0,27.9,3,male,S,Third,child
27.0,11.1333,3,female,S,Third,woman
16.0,7.7333,3,female,Q,Third,woman
22.0,49.5,1,female,C,First,woman
33.0,26.0,2,female,S,Second,woman
21.0,34.375,3,female,S,Third,woman
16.0,39.6875,3,male,S,Third,man
34.0,8.05,3,male,S,Third,man
34.0,13.0,2,female,S,Second,woman
45.0,8.05,3,male,S,Third,man
29.0,15.2458,3,female,C,Third,woman
48.0,52.0,1,male,S,First,man
33.0,9.5,3,male,S,Third,man
32.0,73.5,2,male,S,Second,man
,7.75,3,male,Q,Third,man
16.0,7.75,3,female,Q,Third,woman
22.0,7.8958,3,male,S,Third,man
38.0,71.2833,1,female,C,First,woman
24.0,263.0,1,female,S,First,woman
35.0,135.6333,1,female,S,First,woman
36.0,10.5,2,male,S,Second,man
6.0,33.0,2,female,S,Second,child
,14.5,3,male,S,Third,man
,8.05,3,male,S,Third,man
44.0,26.0,2,female,S,Second,woman
,7.8958,3,male,C,Third,man
50.0,13.0,2,male,S,Second,man
33.0,7.8958,3,male,S,Third,man
48.0,34.375,3,female,S,Third,woman
26.0,7.8958,3,male,S,Third,man
,8.05,3,male,S,Third,man
40.0,15.75,2,female,S,Second,woman
,7.7333,3,male,Q,Third,man
42.0,13.0,2,male,S,Second,man
,8.05,3,male,S,Third,man
,7.75,3,male,Q,Third,man
16.0,10.5,2,male,S,Second,man
19.0,14.5,3,male,S,Third,man
26.0,7.8542,3,female,S,Third,woman
35.0,83.475,1,female,S,First,woman
49.0,110.8833,1,male,C,First,man
15.0,7.225,3,female,C,Third,child
,26.55,1,male,S,First,man
,7.8958,3,male,S,Third,man
,0.0,1,male,S,First,man
24.0,19.2583,3,female,C,Third,woman
24.0,14.5,2,female,S,Second,woman
34.0,21.0,2,male,S,Second,man
40.0,39.0,2,female,S,Second,woman
33.0,15.85,3,female,S,Third,woman
0.75,19.2583,3,female,C,Third,child
22.0,9.35,3,male,S,Third,man
45.5,28.5,1,male,S,First,man
5.0,31.3875,3,female,S,Third,child
22.0,8.05,3,male,S,Third,man
,52.0,1,male,S,First,man
46.0,79.2,1,male,C,First,man
,89.1042,1,female,C,First,woman
49.0,56.9292,1,male,C,First,man
21.0,7.7333,3,male,Q,Third,man
19.0,10.1708,3,male,S,Third,man
9.0,31.3875,3,male,S,Third,child
26.0,16.1,3,female,S,Third,woman
38.0,153.4625,1,male,S,First,man
64.0,263.0,1,male,S,First,man
18.0,17.8,3,female,S,Third,woman
,8.4583,3,male,Q,Third,man
23.0,11.5,2,male,S,Second,man
24.0,10.5,2,male,S,Second,man
35.0,90.0,1,female,S,First,woman
30.0,24.15,3,female,S,Third,woman
,15.1,3,male,S,Third,man
39.0,13.0,2,male,S,Second,man
21.0,7.65,3,female,S,Third,woman
28.0,13.0,2,female,S,Second,woman
30.0,8.05,3,male,S,Third,man
19.0,7.8958,3,male,S,Third,man
20.0,8.05,3,male,S,Third,man
,7.8958,3,male,S,Third,man
30.0,21.0,2,female,S,Second,woman
32.0,13.0,2,female,S,Second,woman
16.0,9.5,3,male,S,Third,man
,7.8958,3,male,S,Third,man
28.0,56.4958,3,male,S,Third,man
,69.55,3,female,S,Third,woman
28.0,7.8958,3,female,S,Third,woman
42.0,8.4042,3,male,S,Third,man
,14.4583,3,male,C,Third,man
17.0,7.0542,3,male,S,Third,man
56.0,35.5,1,male,C,First,man
,69.55,3,female,S,Third,woman
41.0,14.1083,3,male,S,Third,man
24.0,49.5042,1,female,C,First,woman
22.0,135.6333,1,male,C,First,man
43.0,46.9,3,female,S,Third,woman
25.0,7.25,3,male,S,Third,man
,7.55,3,male,S,Third,man
48.0,26.55,1,male,S,First,man
,0.0,2,male,S,Second,man
20.0,7.05,3,male,S,Third,man
14.0,11.2417,3,female,C,Third,child
50.0,55.9,1,male,S,First,man
31.0,113.275,1,female,C,First,woman
62.0,26.55,1,male,S,First,man
19.0,7.8958,3,male,S,Third,man
20.0,7.2292,3,male,C,Third,man
22.0,9.8375,3,female,S,Third,woman
65.0,26.55,1,male,S,First,man
,7.75,3,male,Q,Third,man
42.0,52.0,1,male,S,First,man
30.0,56.9292,1,female,C,First,woman
45.0,7.75,3,female,S,Third,woman
32.0,7.925,3,male,S,Third,man
18.0,6.75,3,female,Q,Third,woman
20.0,15.7417,3,male,C,Third,man
23.0,113.275,1,female,C,First,woman
23.0,7.8542,3,male,S,Third,man
,7.775,3,male,S,Third,man
,29.7,1,male,C,First,man
,7.2292,3,male,C,Third,man
25.0,7.05,3,male,S,Third,man
,7.75,3,female,Q,Third,woman
45.5,7.225,3,male,C,Third,man
27.0,8.6625,3,male,S,Third,man
51.0,7.0542,3,male,S,Third,man
34.0,13.0,2,male,S,Second,man
21.0,9.825,3,female,S,Third,woman
28.0,47.1,1,male,S,First,man
33.0,7.8958,3,male,C,Third,man
,8.05,3,female,S,Third,woman
36.0,78.85,1,male,S,First,man
,7.7333,3,female,Q,Third,woman
30.0,9.5,3,male,S,Third,man
32.5,13.0,2,female,S,Second,woman
66.0,10.5,2,male,S,Second,man
42.0,13.0,2,female,S,Second,woman
34.0,10.5,2,female,S,Second,woman
,7.225,3,female,C,Third,woman
38.0,0.0,1,male,S,First,man
30.0,10.5,2,male,S,Second,man
27.0,13.0,2,male,S,Second,man
,0.0,2,male,S,Second,man
22.0,55.0,1,female,S,First,woman
40.0,7.225,3,male,C,Third,man
38.0,90.0,1,male,S,First,man
33.0,86.5,1,female,S,First,woman
46.0,61.175,1,male,S,First,man
22.0,66.6,1,female,S,First,woman
47.0,52.5542,1,female,S,First,woman
54.0,14.0,2,male,S,Second,man
5.0,19.2583,3,female,C,Third,child
0.42,8.5167,3,male,C,Third,child
70.0,71.0,1,male,S,First,man
,7.225,3,male,C,Third,man
35.0,20.25,3,female,S,Third,woman
36.0,40.125,1,male,C,First,man
16.0,7.775,3,male,S,Third,man
35.0,26.55,1,male,C,First,man
42.0,8.6625,3,male,S,Third,man
3.0,21.075,3,female,S,Third,child
39.0,7.925,3,male,S,Third,man
26.0,7.8542,3,male,S,Third,man
30.0,86.5,1,female,S,First,woman
21.0,73.5,2,male,S,Second,man
58.0,146.5208,1,female,C,First,woman
63.0,9.5875,3,female,S,Third,woman
37.0,53.1,1,male,S,First,man
21.0,8.05,3,male,S,Third,man
57.0,10.5,2,female,S,Second,woman
17.0,110.8833,1,male,C,First,man
47.0,38.5,1,male,S,First,man
,69.55,3,male,S,Third,man
26.0,26.0,2,female,S,Second,woman
26.0,78.85,1,female,S,First,woman
36.0,7.8958,3,male,S,Third,man
36.0,120.0,1,female,S,First,woman
22.0,8.05,3,male,S,Third,man
1.0,39.0,2,male,S,Second,child
55.5,8.05,3,male,S,Third,man
2.0,39.6875,3,male,S,Third,child
36.0,135.6333,1,female,C,First,woman
25.0,7.7417,3,male,Q,Third,man
19.0,7.8792,3,female,Q,Third,woman
,8.1125,3,male,S,Third,man
8.0,29.125,3,male,Q,Third,child
54.0,51.8625,1,male,S,First,man
,7.25,3,male,S,Third,man
27.0,12.475,3,female,S,Third,woman
25.0,7.65,3,male,S,Third,man
36.0,26.2875,1,male,S,First,man
21.0,7.7958,3,male,S,Third,man
42.0,26.0,2,female,S,Second,woman
17.0,7.925,3,female,S,Third,woman
45.0,27.9,3,female,S,Third,woman
29.0,211.3375,1,female,S,First,woman
22.0,7.775,3,female,S,Third,woman
60.0,75.25,1,female,C,First,woman
24.0,13.0,2,female,S,Second,woman
,8.7125,3,male,C,Third,man
7.0,26.25,2,female,S,Second,child
23.0,10.5,2,male,S,Second,man
,50.0,1,male,S,First,man
3.0,15.9,3,male,S,Third,child
24.0,65.0,2,female,S,Second,woman
35.0,21.0,2,female,S,Second,woman
32.0,7.925,3,male,S,Third,man
,7.6292,3,female,Q,Third,woman
30.0,106.425,1,female,C,First,woman
,7.75,3,male,Q,Third,man
18.0,7.8542,3,male,S,Third,man
